actual,prediction,split
68.25,51.501934,evaluation
119.57,61.742744,evaluation
121.65,70.18546,evaluation
104.05,70.619606,evaluation
91.0,67.20686,evaluation
79.18,69.07854,evaluation
63.92,66.96469,evaluation
46.2,66.3675,evaluation
41.62,68.647514,evaluation
39.25,65.13614,evaluation
38.28,63.788574,evaluation
45.12,61.638893,evaluation
36.0,59.588745,evaluation
42.45,57.88792,evaluation
52.05,60.01242,evaluation
87.32,62.629295,evaluation
153.55,66.626465,evaluation
143.07,65.051605,evaluation
116.78,56.80126,evaluation
40.05,44.321632,evaluation
32.42,40.102684,evaluation
33.05,38.369293,evaluation
41.18,40.063946,evaluation
53.38,51.13539,evaluation
117.75,60.817986,evaluation
121.82,65.20003,evaluation
109.57,67.782875,evaluation
93.95,64.3147,evaluation
81.72,64.245735,evaluation
74.15,65.02593,evaluation
62.38,65.5314,evaluation
64.03,63.99074,evaluation
78.45,64.35702,evaluation
66.57,64.54869,evaluation
69.28,60.64322,evaluation
67.5,52.71885,evaluation
55.1,49.13434,evaluation
58.0,49.010532,evaluation
55.18,48.996082,evaluation
45.75,49.31315,evaluation
40.15,46.94999,evaluation
31.3,44.561188,evaluation
22.15,40.10536,evaluation
21.58,34.700024,evaluation
23.22,33.89023,evaluation
22.48,35.541298,evaluation
19.12,36.581844,evaluation
26.15,38.952225,evaluation
53.7,49.020626,evaluation
80.22,55.882927,evaluation
68.38,57.290367,evaluation
72.18,59.426735,evaluation
55.78,56.917816,evaluation
51.78,53.301407,evaluation
35.65,48.587173,evaluation
25.85,47.22457,evaluation
22.1,45.077633,evaluation
22.85,41.92621,evaluation
24.1,43.449684,evaluation
32.5,43.8872,evaluation
46.98,48.593807,evaluation
63.58,45.993553,evaluation
49.58,45.158665,evaluation
40.12,46.382736,evaluation
29.2,44.110207,evaluation
25.38,40.655785,evaluation
22.88,38.243744,evaluation
22.28,38.007965,evaluation
20.32,36.00472,evaluation
21.98,36.734894,evaluation
19.52,37.015537,evaluation
22.72,39.25164,evaluation
46.5,47.651287,evaluation
55.5,52.734955,evaluation
54.85,53.44376,evaluation
48.12,53.956596,evaluation
45.65,51.616844,evaluation
37.58,50.745056,evaluation
57.05,50.96248,evaluation
46.75,51.065826,evaluation
43.55,47.248047,evaluation
37.12,47.270752,evaluation
48.72,43.573807,evaluation
50.9,39.316956,evaluation
63.28,45.90388,evaluation
54.72,50.18827,evaluation
53.6,49.646812,evaluation
48.08,48.51342,evaluation
36.3,45.44387,evaluation
